Product_Name,Unit_Price,SKU,Category
"Lenovo ThinkPad T14",1250.00,LEN-T14-G2,Laptops
"Dell UltraSharp 27 inch Monitor",350.50,DEL-U2721DE,Monitors
"Logitech MX Master 3S Mouse",99.99,LOG-MXM3S,Peripherals
"Apple MacBook Pro 14 inch",1999.00,APP-MBP14-M3,Laptops
"HP LaserJet Pro M404dn",289.95,HP-LJ-M404,Printers
"Microsoft Surface Laptop 5",1199.50,MS-SL5-13,Laptops
"Samsung Odyssey G7 32 inch Monitor",699.99,SAM-OG7-32,Monitors
"Anker PowerExpand 11-in-1 USB C Hub",79.99,ANK-PE11-1,Accessories
"Bose QuietComfort Headphones",349.00,BOSE-QC45,Peripherals
"Western Digital 4TB My Passport External HDD",109.99,WD-MP4TB,Storage
